group|group_number
HOOC-(CHn)m-COOH (m>2, n in 0..2)|351
NHn-(CHn)m-COOH (m>2, n in 0..2)|352
NH2-(CHn)m-OH (m>2, n in 0..2)|353
OH-(CHn)m-OH (m>2, n in 0..2)|354
OH-(CHp)k-O-(CHn)m-OH (m,k>0; p,n in 0..2)|355
OH-(CHp)k-S-(CHn)m-OH (m,k>0; p,n in 0..2)|356
OH-(CHp)k-NHx-(CHn)m-OH (m,k>0; p,n,x in 0..2)|357
CHp-O-(CHn)m-OH (m>2; n,p in 0..2)|358
NH2-(CHn)m-NH2 (m>2; n in 0..2))|359
NHk-(CHn)m-NH2 (m>2; k in 0..1; n in 0..2)|360
SH-(CHn)m-SH (m>2; n in 0..2)|361
NC-(CHn)m-CN (m>2)|362
COO-(CHn)m-OOC (m>2; n in 0..2)|363
aC-(CHn=CHm)cyc (fused rings) (n,m in 0..1)|364
aC-aC (different rings)|365
aC-CHncyc (different rings) (n in 0..1)|366
aC-CHncyc (fused rings) (n in 0..1)|367
aC-(CHn)m-aC (different rings) (m>1; n in 0..2)|368
aC-(CHn)m-CHcyc (different rings) (m>0; n in 0..2)|369
CHcyc-CHcyc (different rings)|370
CHcyc-(CHn)m-CHcyc (different rings) (m>0; n in 0..2)|371
CH multiring|372
C multiring|373
aC-CHm-aC (different rings) (m in 0..2)|374
aC-(CHm=CHn)-aC (different rings) (m,n in 0..2)|375
(CHm=C)cyc-CH=CH-(C=CHn)cyc (different rings)|376
(CHm=C)cyc-CHp-(C=CHn)cyc (different rings)|377
aC-CO-aC (different rings)|378
aC-CHm-CO-aC (different rings) (m in 0..2)|379
aC-CO-(C=CHn)cyc (different rings) (n in 0..1)|380
aC-CO-CO-aC (different rings)|381
aC-COcyc (fused rings)|382
aC-CO-(CHn)m-CO-aC (different rings)  (m>0; n in 0..2)|383
aC-CO-CHncyc (different rings) (n in 0..1)|384
aC-CO-NHn-aC (different rings) (n in 0..1)|385
aC-NHnCONHm-aC (different rings) (n,m in 0..1)|386
aC-CO-Ncyc (different rings)|387
aC-Scyc (fused rings)|388
aC-S-aC (different rings)|389
aC-POn-aC (different rings) (n in 0..4)|390
aC-SOn-aC (different rings) (n in 1..4)|391
aC-NHncyc (fused rings) (n in 0..1)|392
aC-NH-aC (different rings)|393
aC-(C=N)cyc (different rings)|394
aC-(N=CHn)cyc (fused rings) (n in 0..1)|395
aC-(CHn=N)cyc (fused rings) (n in 0..1)|396
aC-O-CHn-aC (different rings) (n in 0..2)|397
aC-O-aC (different rings)|398
aC-CHn-O-CHm-aC (different rings) (n,m in 0..2)|399
aC-Ocyc (fused rings)|400
AROM.FUSED[2]|401
AROM.FUSED[2]s1|402
AROM.FUSED[2]s2|403
AROM.FUSED[2]s2s3|404
AROM.FUSED[2]s1s4|405
AROM.FUSED[2]s1s2|406
AROM.FUSED[2]s1s3|407
AROM.FUSED[3]|408
AROM.FUSED[4a]|409
AROM.FUSED[4a]s1|410
AROM.FUSED[4a]s1s4|411
AROM.FUSED[4p]|412
AROM.FUSED[4p]s3s4|413
PYRIDINE.FUSED[2]|414
PYRIDINE.FUSED[2-iso]|415
PYRIDINE.FUSED[4]|416
aC-N-CHcyc (different rings)|417
N multiring|418
Ncyc-(CH2)3-Ncyc (different rings)|419
aC-COCH2CH2-aC (different rings)|420
aC-O-(CH2)2-Ncyc (different rings)|421
aC-CH(OH)(CH2)2-CHcyc (different rings)|422
Ncyc-(CH2)2-CHcyc (different rings)|423
aC-CONHCH2-CHcyc (different rings)|424
